"FILENAME"	"GIVENNAME"	"EXPERIMENT"	"MONTH"	"CELLTYPE"	"LOCATION"	"MISC"
"97"	NA	NA	NA	NA	NA	NA	NA
"98"	NA	NA	NA	NA	NA	NA	NA
"99"	NA	NA	NA	NA	NA	NA	NA
"100"	NA	NA	NA	NA	NA	NA	NA
"101"	NA	NA	NA	NA	NA	NA	NA
"102"	NA	NA	NA	NA	NA	NA	NA
"103"	NA	NA	NA	NA	NA	NA	NA
"104"	NA	NA	NA	NA	NA	NA	NA
"105"	NA	NA	NA	NA	NA	NA	NA
"106"	NA	NA	NA	NA	NA	NA	NA
"107"	NA	NA	NA	NA	NA	NA	NA
"108"	NA	NA	NA	NA	NA	NA	NA
"109"	NA	NA	NA	NA	NA	NA	NA
"110"	NA	NA	NA	NA	NA	NA	NA
"111"	NA	NA	NA	NA	NA	NA	NA
"112"	NA	NA	NA	NA	NA	NA	NA
"113"	NA	NA	NA	NA	NA	NA	NA
"114"	NA	NA	NA	NA	NA	NA	NA
"115"	NA	NA	NA	NA	NA	NA	NA
"116"	NA	NA	NA	NA	NA	NA	NA
"117"	NA	NA	NA	NA	NA	NA	NA
"118"	NA	NA	NA	NA	NA	NA	NA
"119"	NA	NA	NA	NA	NA	NA	NA
"120"	NA	NA	NA	NA	NA	NA	NA
"121"	NA	NA	NA	NA	NA	NA	NA
"122"	NA	NA	NA	NA	NA	NA	NA
"123"	NA	NA	NA	NA	NA	NA	NA
"124"	NA	NA	NA	NA	NA	NA	NA
"125"	NA	NA	NA	NA	NA	NA	NA
"126"	NA	NA	NA	NA	NA	NA	NA
"127"	NA	NA	NA	NA	NA	NA	NA
"128"	NA	NA	NA	NA	NA	NA	NA
"129"	"zh3321mT.fastq"	"21m T"	"Timepoint"	21	"T"	"PB"	""
"130"	"zh3321mB.fastq"	"21m B"	"Timepoint"	21	"B"	"PB"	""
"131"	NA	NA	NA	NA	NA	NA	NA
"132"	"zh3321mMono.fastq"	"21m Mono"	"Timepoint"	21	"Mono"	"PB"	""
"133"	"zh3321mGFPpGr.fastq"	"21m Gr"	"Timepoint"	21	"Gr"	"PB"	""
"134"	NA	NA	NA	NA	NA	NA	NA
"135"	NA	NA	NA	NA	NA	NA	NA
"136"	NA	NA	NA	NA	NA	NA	NA
"137"	NA	NA	NA	NA	NA	NA	NA
"138"	NA	NA	NA	NA	NA	NA	NA
"139"	NA	NA	NA	NA	NA	NA	NA
"140"	NA	NA	NA	NA	NA	NA	NA
"141"	NA	NA	NA	NA	NA	NA	NA
"142"	NA	NA	NA	NA	NA	NA	NA
"143"	NA	NA	NA	NA	NA	NA	NA
"144"	NA	NA	NA	NA	NA	NA	NA
"145"	NA	NA	NA	NA	NA	NA	NA
"146"	NA	NA	NA	NA	NA	NA	NA
"147"	NA	NA	NA	NA	NA	NA	NA
"148"	NA	NA	NA	NA	NA	NA	NA
"149"	NA	NA	NA	NA	NA	NA	NA
"150"	NA	NA	NA	NA	NA	NA	NA
"151"	NA	NA	NA	NA	NA	NA	NA
"152"	NA	NA	NA	NA	NA	NA	NA
"153"	NA	NA	NA	NA	NA	NA	NA
"154"	NA	NA	NA	NA	NA	NA	NA
"155"	NA	NA	NA	NA	NA	NA	NA
"156"	NA	NA	NA	NA	NA	NA	NA
"157"	NA	NA	NA	NA	NA	NA	NA
"158"	NA	NA	NA	NA	NA	NA	NA
"159"	NA	NA	NA	NA	NA	NA	NA
"160"	NA	NA	NA	NA	NA	NA	NA
"161"	NA	NA	NA	NA	NA	NA	NA
"162"	NA	NA	NA	NA	NA	NA	NA
"163"	NA	NA	NA	NA	NA	NA	NA
"164"	NA	NA	NA	NA	NA	NA	NA
"165"	NA	NA	NA	NA	NA	NA	NA
"166"	NA	NA	NA	NA	NA	NA	NA
"167"	NA	NA	NA	NA	NA	NA	NA
"168"	NA	NA	NA	NA	NA	NA	NA
"169"	NA	NA	NA	NA	NA	NA	NA
"170"	NA	NA	NA	NA	NA	NA	NA
"171"	NA	NA	NA	NA	NA	NA	NA
"172"	NA	NA	NA	NA	NA	NA	NA
"173"	NA	NA	NA	NA	NA	NA	NA
"174"	NA	NA	NA	NA	NA	NA	NA
"175"	NA	NA	NA	NA	NA	NA	NA
"176"	NA	NA	NA	NA	NA	NA	NA
"177"	NA	NA	NA	NA	NA	NA	NA
"178"	NA	NA	NA	NA	NA	NA	NA
"179"	NA	NA	NA	NA	NA	NA	NA
"180"	NA	NA	NA	NA	NA	NA	NA
"181"	NA	NA	NA	NA	NA	NA	NA
"182"	NA	NA	NA	NA	NA	NA	NA
"183"	NA	NA	NA	NA	NA	NA	NA
"184"	NA	NA	NA	NA	NA	NA	NA
"185"	NA	NA	NA	NA	NA	NA	NA
"186"	NA	NA	NA	NA	NA	NA	NA
"187"	NA	NA	NA	NA	NA	NA	NA
"188"	NA	NA	NA	NA	NA	NA	NA
"189"	NA	NA	NA	NA	NA	NA	NA
"190"	NA	NA	NA	NA	NA	NA	NA
"191"	NA	NA	NA	NA	NA	NA	NA
"192"	NA	NA	NA	NA	NA	NA	NA
"193"	NA	NA	NA	NA	NA	NA	NA
"194"	NA	NA	NA	NA	NA	NA	NA
"195"	NA	NA	NA	NA	NA	NA	NA
"196"	NA	NA	NA	NA	NA	NA	NA
"197"	NA	NA	NA	NA	NA	NA	NA
"198"	NA	NA	NA	NA	NA	NA	NA
"199"	NA	NA	NA	NA	NA	NA	NA
"200"	NA	NA	NA	NA	NA	NA	NA
"201"	NA	NA	NA	NA	NA	NA	NA
"202"	NA	NA	NA	NA	NA	NA	NA
"203"	NA	NA	NA	NA	NA	NA	NA
"204"	NA	NA	NA	NA	NA	NA	NA
"205"	"zh33T093014.fastq"	"28m T"	"Timepoint"	28	"T"	"PB"	""
"206"	"zh33B093014.fastq"	"28m B"	"Timepoint"	28	"B"	"PB"	""
"207"	NA	NA	NA	NA	NA	NA	NA
"208"	"zh33Mono093014.fastq"	"28m Mono"	"Timepoint"	28	"Mono"	"PB"	""
"209"	"zh33093014GFPpGr.fastq"	"28m Gr"	"Timepoint"	28	"Gr"	"PB"	""
"210"	NA	NA	NA	NA	NA	NA	NA
"211"	NA	NA	NA	NA	NA	NA	NA
"212"	NA	NA	NA	NA	NA	NA	NA
"213"	NA	NA	NA	NA	NA	NA	NA
"214"	NA	NA	NA	NA	NA	NA	NA
"215"	NA	NA	NA	NA	NA	NA	NA
"216"	NA	NA	NA	NA	NA	NA	NA
"217"	NA	NA	NA	NA	NA	NA	NA
"218"	NA	NA	NA	NA	NA	NA	NA
"219"	NA	NA	NA	NA	NA	NA	NA
"220"	NA	NA	NA	NA	NA	NA	NA
"221"	NA	NA	NA	NA	NA	NA	NA
"222"	NA	NA	NA	NA	NA	NA	NA
"223"	NA	NA	NA	NA	NA	NA	NA
"224"	NA	NA	NA	NA	NA	NA	NA
"225"	NA	NA	NA	NA	NA	NA	NA
"226"	NA	NA	NA	NA	NA	NA	NA
"227"	NA	NA	NA	NA	NA	NA	NA
"228"	NA	NA	NA	NA	NA	NA	NA
"229"	NA	NA	NA	NA	NA	NA	NA
"230"	NA	NA	NA	NA	NA	NA	NA
"231"	NA	NA	NA	NA	NA	NA	NA
"232"	NA	NA	NA	NA	NA	NA	NA
"233"	NA	NA	NA	NA	NA	NA	NA
"234"	NA	NA	NA	NA	NA	NA	NA
"235"	NA	NA	NA	NA	NA	NA	NA
"236"	"zh33T111214.fastq"	"30m T"	"Timepoint"	30	"T"	"PB"	""
"237"	"zh33B111214.fastq"	"30m B"	"Timepoint"	30	"B"	"PB"	""
"238"	NA	NA	NA	NA	NA	NA	NA
"239"	NA	NA	NA	NA	NA	NA	NA
"240"	"zh33111214GFPpGr.fastq"	"30m Gr"	"Timepoint"	30	"Gr"	"PB"	""
"241"	NA	NA	NA	NA	NA	NA	NA
"242"	NA	NA	NA	NA	NA	NA	NA
"243"	NA	NA	NA	NA	NA	NA	NA
"244"	NA	NA	NA	NA	NA	NA	NA
"245"	"zh3330mMono112514.fastq"	"30m Mono 112514"	"30m"	30	"Mono"	"PB"	""
"246"	NA	NA	NA	NA	NA	NA	NA
"247"	NA	NA	NA	NA	NA	NA	NA
"248"	NA	NA	NA	NA	NA	NA	NA
"249"	NA	NA	NA	NA	NA	NA	NA
"250"	NA	NA	NA	NA	NA	NA	NA
"251"	NA	NA	NA	NA	NA	NA	NA
"252"	NA	NA	NA	NA	NA	NA	NA
"253"	NA	NA	NA	NA	NA	NA	NA
"254"	NA	NA	NA	NA	NA	NA	NA
"255"	NA	NA	NA	NA	NA	NA	NA
"256"	NA	NA	NA	NA	NA	NA	NA
"257"	NA	NA	NA	NA	NA	NA	NA
"258"	NA	NA	NA	NA	NA	NA	NA
"259"	NA	NA	NA	NA	NA	NA	NA
"260"	NA	NA	NA	NA	NA	NA	NA
"261"	NA	NA	NA	NA	NA	NA	NA
"262"	NA	NA	NA	NA	NA	NA	NA
"263"	NA	NA	NA	NA	NA	NA	NA
"264"	NA	NA	NA	NA	NA	NA	NA
"265"	NA	NA	NA	NA	NA	NA	NA
"266"	NA	NA	NA	NA	NA	NA	NA
"267"	NA	NA	NA	NA	NA	NA	NA
"268"	NA	NA	NA	NA	NA	NA	NA
"269"	NA	NA	NA	NA	NA	NA	NA
"270"	NA	NA	NA	NA	NA	NA	NA
"271"	NA	NA	NA	NA	NA	NA	NA
"272"	NA	NA	NA	NA	NA	NA	NA
"273"	NA	NA	NA	NA	NA	NA	NA
"274"	NA	NA	NA	NA	NA	NA	NA
"275"	NA	NA	NA	NA	NA	NA	NA
"276"	NA	NA	NA	NA	NA	NA	NA
"277"	NA	NA	NA	NA	NA	NA	NA
"278"	NA	NA	NA	NA	NA	NA	NA
"279"	NA	NA	NA	NA	NA	NA	NA
"280"	NA	NA	NA	NA	NA	NA	NA
"281"	NA	NA	NA	NA	NA	NA	NA
"282"	NA	NA	NA	NA	NA	NA	NA
"283"	NA	NA	NA	NA	NA	NA	NA
"284"	NA	NA	NA	NA	NA	NA	NA
"285"	NA	NA	NA	NA	NA	NA	NA
"286"	NA	NA	NA	NA	NA	NA	NA
"287"	NA	NA	NA	NA	NA	NA	NA
"288"	NA	NA	NA	NA	NA	NA	NA
"289"	NA	NA	NA	NA	NA	NA	NA
"290"	NA	NA	NA	NA	NA	NA	NA
"291"	NA	NA	NA	NA	NA	NA	NA
"292"	NA	NA	NA	NA	NA	NA	NA
"293"	NA	NA	NA	NA	NA	NA	NA
"294"	NA	NA	NA	NA	NA	NA	NA
"295"	NA	NA	NA	NA	NA	NA	NA
"296"	NA	NA	NA	NA	NA	NA	NA
"297"	NA	NA	NA	NA	NA	NA	NA
"298"	NA	NA	NA	NA	NA	NA	NA
"299"	NA	NA	NA	NA	NA	NA	NA
"300"	NA	NA	NA	NA	NA	NA	NA
"301"	NA	NA	NA	NA	NA	NA	NA
"302"	NA	NA	NA	NA	NA	NA	NA
"303"	NA	NA	NA	NA	NA	NA	NA
"304"	NA	NA	NA	NA	NA	NA	NA
"305"	NA	NA	NA	NA	NA	NA	NA
"306"	NA	NA	NA	NA	NA	NA	NA
"307"	NA	NA	NA	NA	NA	NA	NA
"308"	NA	NA	NA	NA	NA	NA	NA
"309"	NA	NA	NA	NA	NA	NA	NA
"310"	NA	NA	NA	NA	NA	NA	NA
"311"	NA	NA	NA	NA	NA	NA	NA
"312"	NA	NA	NA	NA	NA	NA	NA
"313"	NA	NA	NA	NA	NA	NA	NA
"314"	NA	NA	NA	NA	NA	NA	NA
"315"	NA	NA	NA	NA	NA	NA	NA
"316"	NA	NA	NA	NA	NA	NA	NA
"317"	NA	NA	NA	NA	NA	NA	NA
"318"	NA	NA	NA	NA	NA	NA	NA
"319"	NA	NA	NA	NA	NA	NA	NA
"320"	NA	NA	NA	NA	NA	NA	NA
"321"	NA	NA	NA	NA	NA	NA	NA
"322"	NA	NA	NA	NA	NA	NA	NA
"323"	NA	NA	NA	NA	NA	NA	NA
"324"	NA	NA	NA	NA	NA	NA	NA
"325"	NA	NA	NA	NA	NA	NA	NA
"326"	NA	NA	NA	NA	NA	NA	NA
"327"	NA	NA	NA	NA	NA	NA	NA
"328"	NA	NA	NA	NA	NA	NA	NA
"329"	NA	NA	NA	NA	NA	NA	NA
"330"	NA	NA	NA	NA	NA	NA	NA
"331"	NA	NA	NA	NA	NA	NA	NA
"332"	NA	NA	NA	NA	NA	NA	NA
"333"	NA	NA	NA	NA	NA	NA	NA
"334"	NA	NA	NA	NA	NA	NA	NA
"335"	NA	NA	NA	NA	NA	NA	NA
"336"	NA	NA	NA	NA	NA	NA	NA
"337"	NA	NA	NA	NA	NA	NA	NA
"338"	NA	NA	NA	NA	NA	NA	NA
"339"	NA	NA	NA	NA	NA	NA	NA
"340"	NA	NA	NA	NA	NA	NA	NA
"341"	NA	NA	NA	NA	NA	NA	NA
"342"	NA	NA	NA	NA	NA	NA	NA
"343"	NA	NA	NA	NA	NA	NA	NA
"344"	NA	NA	NA	NA	NA	NA	NA
"345"	NA	NA	NA	NA	NA	NA	NA
"346"	NA	NA	NA	NA	NA	NA	NA
"347"	NA	NA	NA	NA	NA	NA	NA
"348"	NA	NA	NA	NA	NA	NA	NA
"349"	NA	NA	NA	NA	NA	NA	NA
"350"	"zh33_20150806_PB_B_CD_104_R1_ATCACG_L005_R1_001.fastq"	"38m B"	"CD104"	150806	"B"	""	""
"351"	"zh33_20150806_PB_T_CD_104_R4_TGACCA_L005_R1_001.fastq"	"38m T"	"CD104"	150806	"T"	""	""
"352"	"zh33_20150806_PB_Gr_Ficoll_CD_104_R12_CTTGTA_L005_R1_001.fastq"	"38m Gr Ficoll"	"CD104"	150806	"Gr"	""	""
"353"	"zh33_20140806_PB_Mono_CD_104_R2_CGATGT_L005_R1_001.fastq"	"38m Mono"	"CD104"	150806	"Mono"	""	""
"354"	NA	NA	NA	NA	NA	NA	NA
"355"	NA	NA	NA	NA	NA	NA	NA
"356"	NA	NA	NA	NA	NA	NA	NA
"357"	"zh33_43m_B_20160108_pp_50trim_CD118_R11.fastq"	"43m B"	""	NA	""	""	""
"358"	"zh33_43m_Mono_20160108_pp_50trim_CD117_R12.fastq"	"43m Mono"	""	NA	""	""	""
"359"	NA	NA	NA	NA	NA	NA	NA
"360"	"zh33_43m_T_20160108_pp_50trim_CD116_R10.fastq"	"43m T"	""	NA	""	""	""
"361"	NA	NA	NA	NA	NA	NA	NA
"362"	"zh33_43m_Gr_Ficoll_reextract_20160108_pp_50trim_CD119_R17.fastq"	"43m Gr re-extract"	""	NA	""	""	""
"363"	NA	NA	NA	NA	NA	NA	NA
"364"	NA	NA	NA	NA	NA	NA	NA
"365"	NA	NA	NA	NA	NA	NA	NA
"366"	NA	NA	NA	NA	NA	NA	NA
"367"	NA	NA	NA	NA	NA	NA	NA
"368"	NA	NA	NA	NA	NA	NA	NA
"369"	NA	NA	NA	NA	NA	NA	NA
"370"	NA	NA	NA	NA	NA	NA	NA
"371"	NA	NA	NA	NA	NA	NA	NA
"372"	"zh33_46m_B_pp_50trim_CD123_R4.fastq"	"46m B"	"CD123"	NA	""	""	""
"373"	"zh33_46m_Gr_pp_50trim_CD123_R1.fastq"	"46m Gr"	"CD123"	NA	""	""	""
"374"	NA	NA	NA	NA	NA	NA	NA
"375"	NA	NA	NA	NA	NA	NA	NA
"376"	NA	NA	NA	NA	NA	NA	NA
"377"	NA	NA	NA	NA	NA	NA	NA
"378"	"zh33_46m_Mono_pp_50trim_CD123_R5.fastq"	"46m Mono"	"CD123"	NA	""	""	""
"379"	NA	NA	NA	NA	NA	NA	NA
"380"	NA	NA	NA	NA	NA	NA	NA
"381"	NA	NA	NA	NA	NA	NA	NA
"382"	NA	NA	NA	NA	NA	NA	NA
"383"	NA	NA	NA	NA	NA	NA	NA
"384"	NA	NA	NA	NA	NA	NA	NA
"385"	"zh33_46m_T_CD3p_pp_50trim_CD123_R3.fastq"	"46m T"	"CD123"	NA	""	""	""
"386"	"zh33_49m_PB_B_CD20p_fresh_20160602_pp_50trim_CD135_R22.fastq"	"49m B"	"CD135"	NA	""	""	""
"387"	"zh33_49m_PB_Gr_Ficoll_20160602_pp_50trim_CD135_R24.fastq"	"49m Gr"	"CD135"	NA	""	""	""
"388"	"zh33_49m_PB_Mono_CD14p_fresh_20160602_pp_50trim_CD135_R9.fastq"	"49m Mono"	"CD135"	NA	""	""	""
"389"	NA	NA	NA	NA	NA	NA	NA
"390"	NA	NA	NA	NA	NA	NA	NA
"391"	"zh33_49m_PB_T_CD3p_fresh_20160602_pp_50trim_CD135_R12.fastq"	"49m T"	"CD135"	NA	""	""	""
